Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
428,Kim DaeUnknownjung’s Sunshine Policy,Unknown,Unknown,1990.0,South Korea,Diplomatic Policy,Korean Peninsula,"A policy of engagement with North Korea, leading to a brief period of improved interUnknownKorean relations.",Koreans,Kim DaeUnknownjung,Positive,36.99057185,128.11951098940523
429,2002 FIFA World Cup,31,May,2002.0,South Korea,International Sports Event,"South Korea, Japan","CoUnknownhosted with Japan, this event marked South Korea's significant presence in international sports.",Global audience,"FIFA, South Korea, Japan",Positive,,
430,Impeachment of President Roh MooUnknownhyun,12,March,2004.0,South Korea,Political,Seoul,"Roh's impeachment for alleged election law violations, highlighting South Korea's political volatility.",South Korean citizens,South Korean National Assembly,Mixed,37.5666791,126.9782914
431,THAAD Deployment Controversy,Unknown,Unknown,2017.0,South Korea,Military/Political,Seongju County,"Deployment of the US THAAD missile defense system, sparking domestic protests and tensions with China.","South Korean citizens, China","Moon JaeUnknownin, US government",Negative,,
432,2018 InterUnknownKorean Summit,27,April,2018.0,South Korea,Diplomatic,Panmunjom,"Leaders of North and South Korea met for talks, renewing hopes for peace and denuclearization on the peninsula.",Koreans,"Moon JaeUnknownin, Kim JongUnknownun",Positive,37.9558744,126.6770213
434,Death of Kim JongUnknownil,17,December,2011.0,North Korea,Leadership Change,Pyongyang,Marked the end of Kim JongUnknownil's era and the beginning of Kim JongUnknownun's rule.,North Korean citizens,Unknown,Mixed,39.0167979,125.7473609
436,Battle of Điện Biên Phủ,7,May,1954.0,Vietnam,Military Siege,Điện Biên Phủ,"Decisive victory against French forces, leading to the end of French Indochina and the Geneva Accords.","Vietnamese, French forces",Võ Nguyên Giáp,Positive,21.3874893,103.0185
437,Geneva Accords,21,July,1954.0,Vietnam,Diplomatic Agreement,Geneva,"Temporarily divided Vietnam at the 17th parallel, setting the stage for conflict between North and South Vietnam.",Vietnamese people,International community,Mixed,46.22479115,6.112793858287377
439,Gulf of Tonkin Incident,2,August,1964.0,Vietnam,Military Engagement,Gulf of Tonkin,"Led to US Congress passing the Gulf of Tonkin Resolution, escalating American involvement in the Vietnam War.","Vietnamese, US military",US Government,Negative,,
441,Paris Peace Accords,27,January,1973.0,Vietnam,Diplomatic Agreement,Paris,"Led to a ceasefire and the withdrawal of US troops from Vietnam, although fighting between North and South continued.","Vietnamese, US military","US Government, North Vietnam",Mixed,20.9512683,107.1017358
442,Fall of Saigon,30,April,1975.0,Vietnam,Military/Political Event,Saigon,Marked the end of the Vietnam War and the beginning of reunification under the Socialist Republic of Vietnam.,"South Vietnamese, North Vietnamese",North Vietnamese Army,Positive,10.7763897,106.7011391
447,Vietnam Joins ASEAN,28,July,1995.0,Vietnam,International Integration,Southeast Asia,"Vietnam's accession to ASEAN, enhancing regional cooperation and integration.",Vietnamese people,"ASEAN, Vietnamese Government",Positive,,
448,Vietnam Joins the World Trade Organization,11,January,2007.0,Vietnam,International Trade Membership,Geneva,"Marked Vietnam's deeper integration into the global economy, promoting trade and investment.",Vietnamese economy,"WTO, Vietnamese Government",Positive,46.22479115,6.112793858287377
449,1000th Anniversary of Hanoi,10,October,2010.0,Vietnam,Cultural Celebration,Hanoi,"Celebrated the founding of the city, emphasizing Vietnam's rich history and cultural heritage.",Vietnamese people,Government of Vietnam,Positive,21.0283334,105.854041
450,Vietnam Hosts APEC Summit,6,November,2017.0,Vietnam,International Summit,Da Nang,"Hosted leaders from the AsiaUnknownPacific region, showcasing Vietnam's role on the international stage.","Global leaders, Vietnamese people",Government of Vietnam,Positive,16.068,108.212
453,Historic US Presidential Visit to Vietnam,21,May,2016.0,Vietnam,Diplomatic,"Hanoi, Ho Chi Minh City",Barack Obama's visit underscored the continued improvement of USUnknownVietnam relations postUnknownnormalization.,"Vietnamese, Americans","Barack Obama, Vietnamese Government",Positive,10.8506014,106.7756419
457,Lý Dynasty Founded,Unknown,Unknown,1009.0,Vietnam,Dynastic Founding,Hanoi,"Marked the beginning of a stable and prosperous era, with significant developments in culture, education, and governance.",Vietnamese people,Lý Thái Tổ,Positive,21.0283334,105.854041
466,Hanoi Poison Plot,Unknown,Unknown,1908.0,Vietnam,Assassination Attempt,Hanoi,"A failed attempt to poison the French colonial garrison in Hanoi, highlighting resistance to French rule.","French officials, Vietnamese rebels",Vietnamese revolutionaries,Negative,21.0283334,105.854041
468,Yên Bái Mutiny,Unknown,Unknown,1930.0,Vietnam,Armed Rebellion,Yên Bái,An armed revolt against the French colonial authorities by Vietnamese soldiers and civilians.,"Vietnamese soldiers, civilians",Vietnamese Nationalist Party,Mixed,21.69611,104.8752392
469,Establishment of the Indochinese Communist Party,3,February,1930.0,Vietnam,Political Party Formation,Hong Kong,"Founded by Hồ Chí Minh to lead the struggle for independence, merging nationalist and communist ideologies.",Vietnamese people,Hồ Chí Minh,Positive,10.348466,107.0752349
472,Declaration of Independence,2,September,1945.0,Vietnam,Declaration of Independence,"Ba Đình Square, Hanoi","Hồ Chí Minh declared Vietnam's independence, founding the Democratic Republic of Vietnam.",Vietnamese people,Hồ Chí Minh,Positive,21.0371361,105.83587796801
474,Battle of Điện Biên Phủ,Unknown,Unknown,1954.0,Vietnam,Military Siege,Điện Biên Phủ,A decisive battle that ended French colonial rule in Vietnam (Note: Culmination beyond the 1950 cutoff).,"Vietnamese, French soldiers","Võ Nguyên Giáp, French Army",Positive,21.3874893,103.0185
476,First Saudi State Established,Unknown,Unknown,1744.0,Saudi Arabia,State Formation,Diriyah,"Marked the beginning of Saudi rule in the Arabian Peninsula, establishing a political entity based on Wahhabism.",Arabian Peninsula,"Muhammad ibn Saud, Muhammad ibn Abd alUnknownWahhab",Positive,24.6512743,43.4946029
477,Destruction of the First Saudi State,Unknown,Unknown,1818.0,Saudi Arabia,Military Defeat,Diriyah,"The First Saudi State was destroyed by the Ottoman Empire, leading to a temporary loss of power for the Saud family.",Arabian Peninsula,Ottoman Empire,Negative,24.6512743,43.4946029
478,Establishment of the Second Saudi State,Unknown,Unknown,1824.0,Saudi Arabia,State Formation,Najd,"Following the fall of the First Saudi State, the Saud family regained power, leading to the establishment of the Second Saudi State.",Arabian Peninsula,Turki ibn Abdullah ibn Muhammad,Positive,25.0,44.5
479,Annexation of Hejaz,Unknown,Unknown,1925.0,Saudi Arabia,Territorial Expansion,Hejaz,The conquest of Hejaz was a significant territorial expansion that included the holy cities of Mecca and Medina.,Hejaz,Abdulaziz Ibn Saud,Positive,21.41404365,39.82243515489304
481,Treaty of Jeddah,Unknown,Unknown,1927.0,Saudi Arabia,Diplomatic Agreement,Jeddah,This treaty between Ibn Saud and the United Kingdom recognized the sovereignty of the Kingdom of Hejaz and Najd.,"Arabian Peninsula, UK","Abdulaziz Ibn Saud, United Kingdom",Positive,21.5810088,39.1653612
482,Discovery of Oil,3,March,1938.0,Saudi Arabia,Economic Development,Dammam,The discovery of oil transformed the economy of Saudi Arabia and its role in international affairs.,Saudi Arabia,Saudi Aramco,Positive,26.4367824,50.1039991
483,Founding of Saudi Aramco,Unknown,Unknown,1933.0,Saudi Arabia,Economic Development,Dhahran,The creation of the Arabian American Oil Company (Aramco) marked the beginning of oil exploration and production.,Saudi Arabia,"Saudi Government, American oil companies",Positive,26.2966528,50.1202146
485,SaudiUnknownYemeni War,Unknown,Unknown,1934.0,Saudi Arabia,Military Conflict,Yemen border,"Conflict with Yemen resulted in the Treaty of Taif, which defined the SaudiUnknownYemeni border and expanded Saudi territory.","Saudi Arabia, Yemen",Abdulaziz Ibn Saud,Mixed,,
486,Introduction of Modern Education,Unknown,Unknown,1926.0,Saudi Arabia,Social Reform,Mecca,Establishment of the first formal school in Mecca signified the beginning of modern public education in Saudi Arabia.,Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,21.420847,39.826869
489,Formation of the Saudi Arabian National Guard,Unknown,Unknown,1912.0,Saudi Arabia,Military Organization,Riyadh,"Created to protect the dynasty and maintain internal security, playing a key role in the kingdom's stability.",Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,24.638916,46.7160104
490,Treaty of Taif,Unknown,Unknown,1934.0,Saudi Arabia,Diplomatic Agreement,Taif,The treaty with Yemen following the SaudiUnknownYemeni War confirmed Saudi territorial gains and defined borders.,"Saudi Arabia, Yemen",Abdulaziz Ibn Saud,Positive,21.2702801,40.4158308
491,Participation in the ArabUnknownIsraeli War,Unknown,Unknown,1948.0,Saudi Arabia,Military Conflict,Middle East,Saudi Arabia's involvement highlighted its role in regional Arab politics and the Palestinian issue.,Middle East,Abdulaziz Ibn Saud,Mixed,,
493,Founding Member of the Arab League,Unknown,Unknown,1945.0,Saudi Arabia,International Cooperation,Cairo,Saudi Arabia's participation in the Arab League emphasized its commitment to Arab solidarity and regional issues.,Arab states,Abdulaziz Ibn Saud,Positive,24.7584415,46.5740039
494,Establishment of King Abdulaziz University,Unknown,Unknown,1949.0,Saudi Arabia,Educational Development,Jeddah,Signified a commitment to higher education and the development of a skilled workforce in the kingdom.,Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,21.5810088,39.1653612
496,Saudi Arabia Becomes a Member of the UN,24,October,1945.0,Saudi Arabia,International Relations,Unknown,"Marked Saudi Arabia's entry into the international community, fostering global diplomatic ties.",Saudi Arabian citizens,Unknown,Positive,,
497,Oil Revenue Boom,Unknown,Unknown,1970.0,Saudi Arabia,Economic Development,Unknown,The surge in oil prices dramatically increased national wealth and funded extensive modernization projects.,Saudi Arabian citizens,Unknown,Positive,,
499,Juhayman alUnknownOtaybi's Seizure of the Grand Mosque,20,November,1979.0,Saudi Arabia,Security Incident,Mecca,A twoUnknownweek siege that challenged the Saudi royal family's legitimacy and led to stricter religious policies.,"Saudi Arabian citizens, pilgrims",Juhayman alUnknownOtaybi,Negative,21.420847,39.826869
501,IranUnknownIraq War and Saudi Involvement,22,September,1980.0,Saudi Arabia,Regional Conflict,Persian Gulf,"Saudi Arabia supported Iraq, fearing the spread of Iran's revolutionary Shia Islam within the kingdom.",Regional stability,Saudi Government,Mixed,,
504,Introduction of the Basic Law of Governance,1,March,1992.0,Saudi Arabia,Legal Framework,Unknown,"Formalized the Saudi political and administrative structure, reinforcing the monarchy's Islamic governance model.",Saudi Arabian citizens,King Fahd,Positive,,
505,Saudi Arabia Joins the WTO,11,December,2005.0,Saudi Arabia,Economic Integration,Unknown,Enhanced Saudi Arabia's global trade relations and required significant economic reforms for compliance.,Saudi Arabian economy,Saudi Government,Positive,,
507,Riyadh Compound Bombings,12,May,2003.0,Saudi Arabia,Terrorism,Riyadh,"AlUnknownQaeda attacks targeting expatriates underscored the internal threat of extremism, leading to security reforms.","Expatriates, Saudi citizens",AlUnknownQaeda,Negative,24.638916,46.7160104
508,King Abdullah's Ascension,1,August,2005.0,Saudi Arabia,Leadership Change,Unknown,"Began a period marked by cautious reforms in education, economy, and increased openness to the world.",Saudi Arabian citizens,King Abdullah,Positive,,
509,Vision 2030 Announced,25,April,2016.0,Saudi Arabia,Economic/Social Reform Plan,Unknown,"A strategic framework to reduce Saudi Arabia's dependence on oil, diversify its economy, and develop public service sectors.",Saudi Arabian citizens,Mohammed bin Salman,Positive,,
510,Women Allowed to Drive,24,June,2018.0,Saudi Arabia,Social Reform,Unknown,"Ended the world's only ban on female drivers, part of broader social reforms to improve women's rights.",Saudi women,Mohammed bin Salman,Positive,,
511,AntiUnknownCorruption Campaign,4,November,2017.0,Saudi Arabia,Political Action,Riyadh,"HighUnknownprofile arrests for corruption, signaling power consolidation by Crown Prince Mohammed bin Salman.",Saudi elites,Mohammed bin Salman,Mixed,24.638916,46.7160104
512,Saudi Intervention in Yemen,26,March,2015.0,Saudi Arabia,Military Intervention,Yemen,"Led a coalition intervening in Yemen's civil war, aiming to restore the internationally recognized government.","Yemeni civilians, regional stability",Saudi Government,Negative,24.7366039,46.5746494
513,Khashoggi Assassination,2,October,2018.0,Saudi Arabia,Diplomatic Incident,Istanbul,The murder of journalist Jamal Khashoggi in the Saudi consulate led to international outcry and strained relations.,International community,Saudi Government,Negative,21.42656,39.85799802431657
514,RitzUnknownCarlton Riyadh Detentions,4,November,2017.0,Saudi Arabia,AntiUnknownCorruption Effort,Riyadh,"Prominent figures were detained in an antiUnknowncorruption crackdown, seen as consolidating power around the Crown Prince.",Saudi elites,Mohammed bin Salman,Mixed,24.638916,46.7160104
515,G20 Summit Hosted in Riyadh,21,November,2020.0,Saudi Arabia,International Summit,Riyadh,"Hosting the G20 marked Saudi Arabia's prominence on the global stage, despite controversies and criticisms.","Global leaders, Saudi citizens",Saudi Government,Mixed,24.638916,46.7160104
533,Signing of the AngloUnknownDutch Treaty,17,March,1824.0,Singapore,Diplomatic Agreement,London,Formalized British control over Singapore and Dutch control over the Indonesian archipelago.,British and Dutch empires,United Kingdom and Netherlands,Positive,51.500251950000006,-0.1564690329157176
535,Singapore Joins the United Nations,21,September,1965.0,Singapore,International Relations,Unknown,Affirmed Singapore's sovereignty and global standing following independence.,Singaporean citizens,Unknown,Positive,,
537,Cable Car Disaster,29,January,1983.0,Singapore,Accident,Sentosa,"The cable car line between Mount Faber and Sentosa was severed, resulting in deaths and highlighting the need for stringent safety measures.",Tourists and locals,Unknown,Negative,1.2525957,103.8214462
543,Bukhara Emirate Overthrown by Bolsheviks,Unknown,Unknown,1920.0,Uzbekistan,Political Change,Bukhara,"Introduction of Soviet rule, significant social and political transformations.",Uzbek people,Bolsheviks,Negative,39.7675529,64.4231326
550,Samarkand becomes part of the Uzbek SSR,Unknown,Unknown,1924.0,Uzbekistan,Administrative Reorganization,Samarkand,"Establishment of Uzbek Soviet Socialist Republic, influencing Uzbek national identity.",Uzbek people,Soviet Government,Mixed,39.6550017,66.9756954
551,Establishment of Simtokha Dzong,Unknown,Unknown,1629.0,Bhutan,Cultural Development,Thimphu,"The first dzong, combining monastic and military functions, foundational for Bhutanese architecture.",Bhutanese people,Zhabdrung Ngawang Namgyal,Positive,27.4713546,89.6336729
562,Foundation of Baghdad,Unknown,Unknown,762.0,Iraq,City Foundation,Baghdad,Establishment of Baghdad as a major cultural and scholarly center,Mesopotamian people,Caliph AlUnknownMansur,Positive,33.3061701,44.3872213
570,Virgin Lands Campaign,Unknown,Unknown,1954.0,Kazakhstan,Agricultural Development,Northern Kazakhstan,Aimed to boost Soviet agriculture; led to significant demographic changes.,Kazakh SSR inhabitants,Nikita Khrushchev,Mixed,,
576,Baghdad Pact,Unknown,Unknown,1955.0,Iraq,Military Alliance,Baghdad,"Aimed to counter Soviet influence in the Middle East, involving Iraq and Western powers.",Iraqi people,"Iraq, United Kingdom, others",Mixed,33.3061701,44.3872213
577,Kengir Uprising,Unknown,Unknown,1954.0,Kazakhstan,Political Rebellion,Kengir,"A major uprising by Gulag prisoners, highlighting resistance to Soviet repression.",Prisoners,"Gulag prisoners, Soviet Government",Negative,47.8405079,67.6139258
584,Silk Road Decline,Unknown,Unknown,1500.0,Central Asia,Economic Shift,Central asia,"Decline of the Silk Road trade routes, impacting Central Asian economies and cities like Samarkand.",Central Asian traders,Unknown,Negative,51.84656135,-0.5394670569626316
587,Federated Malay States Formed,Unknown,Unknown,1895.0,Malaysia,Colonial Administration,Malay Peninsula,British establishment of federated administrative structure to streamline colonial governance.,Malay states people,British Colonial Administration,Negative,4.15,101.934
591,Bukharan People's Soviet Republic Formed,Unknown,Unknown,1920.0,Uzbekistan,State Formation,Bukhara,"Establishment of a Soviet republic, incorporating Bukhara into the Soviet Union.",Bukharan people,Soviet Government,Negative,39.7675529,64.4231326
595,British Occupation of Basra,Unknown,Unknown,1914.0,Iraq,Military Occupation,Basra,"Start of British involvement in Iraq during WWI, leading to eventual British mandate.",Iraqi people,British Forces,Negative,30.4952371,47.8090981
597,Russian Conquest of Tashkent,Unknown,Unknown,1865.0,Uzbekistan,Military Conquest,Tashkent,"Incorporation into the Russian Empire, impacting local governance and development.",Tashkent residents,Russian Empire,Negative,41.3123363,69.2787079
600,Japanese Occupation,Unknown,Unknown,1942.0,Malaysia,Military Occupation,Southeast Asia,"Japanese control disrupted British colonial rule, contributing to the rise of independence movements.",Malay people,Japanese Empire,Negative,3.1404889999999996,101.68340744434904
602,14 July Revolution,Unknown,Unknown,1958.0,Iraq,Political Revolution,Baghdad,"Overthrow of the Hashemite monarchy, leading to the establishment of a republic.",Iraqi people,Iraqi Army and Revolutionaries,Mixed,33.3061701,44.3872213
606,Suvadive Rebellion,Unknown,Unknown,1959.0,Maldives,Secession Attempt,Addu Atoll,Attempted secession highlighting regional discontent and desire for greater autonomy within Maldives.,Southern Maldivians,Abdullah Afeef,Negative,-0.64149345,73.16299780292195
610,1958 Iraqi Revolution,Unknown,July,1958.0,Iraq,Revolution,Baghdad,"Overthrow of the Hashemite monarchy, establishment of a republic.",Iraqi citizens,Abdul Karim Qasim,Mixed,33.3061701,44.3872213
614,Capital Moved to Astana,Unknown,Unknown,1997.0,Uzbekistan,Administrative Change,Nur-Sultan,Moving the capital was aimed at political and economic development.,Kazakh citizens,Nursultan Nazarbayev,Mixed,51.166239,71.4311053
620,2004 Tsunami Impact,26,December,2004.0,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,Unknown,Negative,,
623,1969 Race Riots,13,May,1969.0,Malaysia,Civil Unrest,Kuala Lumpur,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.,Malaysian citizens,Unknown,Negative,3.1516964,101.6942371
626,ISIS Captures Mosul,10,June,2014.0,Iraq,Military Occupation,Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions.",Iraqi citizens,ISIS,Negative,36.3415843,43.1291386
627,Zhanaozen Massacre,16,December,2011.0,Kazakhstan,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative,43.3381034,52.8556219
630,Political Crisis and State of Emergency,Unknown,February,2018.0,Maldives,Political Crisis,Malé,Political tensions leading to a state of emergency and concerns over democracy.,Maldivian citizens,Abdulla Yameen,Negative,4.1779879,73.5107387
633,Protests Against Corruption and Unemployment,Unknown,October,2019.0,Iraq,Civil Unrest,Baghdad,Nationwide protests demanding political reform and action against corruption.,Iraqi citizens,Protesters,Negative,33.3061701,44.3872213
634,Presidential Transition,19,March,2019.0,Kazakhstan,Political Change,Nur-Sultan,"Nursultan Nazarbayev resigns after decades in power, KassymUnknownJomart Tokayev becomes president.",Kazakh citizens,"Nursultan Nazarbayev, KassymUnknownJomart Tokayev",Mixed,51.115320749999995,71.46636599643543
639,Malaysia Airlines Flight MH370 Disappearance,8,March,2014.0,Malaysia,Aviation,Southern Indian Ocean,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777Unknown200ER,Negative,,
640,Japan Airlines Flight 123,12,August,1985.0,Japan,Aviation,Mount Takamagahara,The world's deadliest singleUnknownaircraft accident with 520 fatalities.,520 passengers & crew,Boeing 747SR,Negative,,
641,China Airlines Flight 611,25,May,2002.0,Taiwan,Aviation,Taiwan Strait,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative,22.6230392,120.33827640257569
642,Korean Air Flight 801,6,August,1997.0,South Korea,Aviation,Guam,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747Unknown300,Negative,35.9256982,128.5503144
643,AirAsia Flight QZ8501,28,December,2014.0,Indonesia,Aviation,Java Sea,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320Unknown216,Negative,,
644,Pakistan International Airlines Flight 268,28,September,1992.0,Pakistan,Aviation,Kathmandu,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4Unknown203,Negative,27.713,85.3220049
645,Philippine Airlines Flight 434,11,December,1994.0,Philippines,Aviation,Okinawa,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747Unknown283B,Negative,14.2905502,121.0431104
646,SilkAir Flight 185,19,December,1997.0,Singapore,Aviation,Musi River,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial.",104 passengers & crew,Boeing 737Unknown36N,Negative,,
647,OneUnknownTwoUnknownGO Airlines Flight 269,16,September,2007.0,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative,7.9366015,98.3529292
648,MV Sewol Ferry Sinking,16,April,2014.0,South Korea,Maritime,Yellow Sea,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative,,
649,Fukushima Daiichi Nuclear Disaster,11,March,2011.0,Japan,Nuclear Accident,Fukushima,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative,37.75454,140.4592144
650,Wenzhou Train Collision,23,July,2011.0,China,Rail,Wenzhou,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative,27.9963899,120.695345
651,MV Doña Paz Collision,20,December,1987.0,Philippines,Maritime,Tablas Strait,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths.","Over 4,300 passengers & crew","MV Doña Paz, MT Vector",Negative,11.8870004,121.7284131
652,Nedelin Catastrophe,24,October,1960.0,Russia,Spacecraft Accident,Baikonur Cosmodrome,"Explosion during missile test, killing over 100 people, including top missile program personnel.",Military and technical staff,RUnknown16 ballistic missile,Negative,,
653,Sidoarjo Mud Flow,29,May,2006.0,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative,-7.45597405,112.66088771295344
654,Tham Luang Cave Rescue,23,June,2018.0,Thailand,Rescue Operation,Tham Luang Cave,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort.",12 boys and their coach,"Divers, pumps, and rescue equipment",Positive,20.3816674,99.8683325
655,Declaration of Independence,4,July,1776.0,United States,Political,Philadelphia,Marked the USA's declaration of independence from British rule.,American colonies,Continental Congress,Positive,39.9527237,-75.1635262
656,Louisiana Purchase,30,April,1803.0,United States,Territorial Acquisition,Midwest,"Doubled the size of the USA, acquiring territory from France.",American settlers,Thomas Jefferson,Positive,43.411391,-106.280075
657,Civil War,12,April,1861.0,United States,War,Southern USA,"Resolved the issues of slavery and secession, preserving the Union.",American citizens,"Abraham Lincoln, Jefferson Davis",Mixed,29.9455314,-95.327115
659,Stock Market Crash of 1929,29,October,1929.0,United States,Economic,"Wall Street, New York","Led to the Great Depression, impacting global economy.",Global population,Unknown,Negative,40.7074707,-74.0111934
662,September 11 Attacks,11,September,2001.0,United States,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative,,
664,Brown v. Board of Education,17,May,1954.0,United States,Judicial,"Topeka, Kansas",Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.,African American students,"Supreme Court, Thurgood Marshall",Positive,39.049011,-95.677556
666,Watergate Scandal,17,June,1972.0,United States,Political Scandal,Washington D.C.,Led to the resignation of President Richard Nixon.,American public,"Richard Nixon, Democratic Party",Negative,38.8950368,-77.0365427
667,Challenger Space Shuttle Disaster,28,January,1986.0,United States,Space Exploration Disaster,"Cape Canaveral, FL","Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members.","Astronauts, general public",NASA,Negative,28.4513556,-80.5283059
668,Fall of the Berlin Wall,9,November,1989.0,United States,International,"Berlin, Germany",Symbolized the end of the Cold War and led to German reunification; significant US involvement.,Global population,"Ronald Reagan, Mikhail Gorbachev",Positive,,
669,Oklahoma City Bombing,19,April,1995.0,United States,Domestic Terrorism,"Oklahoma City, OK","Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols",Negative,35.4729886,-97.5170536
670,Hurricane Katrina,29,August,2005.0,United States,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative,26.301135,-81.797742
672,Supreme Court Upholds Obamacare,28,June,2012.0,United States,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive,38.8950368,-77.0365427
673,USUnknownMexico Border Wall Expansion,             ,Unknown,2017.0,United States,Political/Infrastructure,US-Mexico Border,Controversial project aimed at curbing illegal immigration and trafficking.,"Migrants, American citizens",Donald Trump,Mixed,,
676,Capitol Riot,6,January,2021.0,United States,Political,Washington D.C.,"Violent attack on the US Capitol, leading to concerns about democracy.",American citizens,"Proponents of false claims, law enforcement",Negative,38.8950368,-77.0365427
678,Paris Agreement Rejoining,20,January,2021.0,United States,Environmental,International,"Rejoined the Paris Agreement, signaling renewed commitment to climate action.",Global community,"Joe Biden, International leaders",Positive,26.1093312,-98.2085751
679,Hurricane Sandy,29,October,2012.0,United States,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative,40.0317536,-75.630392
681,March on Washington for Jobs and Freedom,28,August,1963.0,United States,Social Movement,Washington D.C.,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech.","Civil rights activists, citizens","Martin Luther King Jr., Activists",Positive,38.8950368,-77.0365427
682,Assassination of President John F. Kennedy,22,November,1963.0,United States,Political,"Dallas, Texas","Shocked the nation, leading to significant political consequences.",American public,Lee Harvey Oswald (alleged),Negative,32.7762719,-96.7968559
683,Stonewall Riots,28,June,1969.0,United States,Social Movement,"New York, NY",Marked the beginning of the modern LGBTQ+ rights movement.,LGBTQ+ community,"LGBTQ+ activists, police",Positive,40.7127281,-74.0060152
684,Roe v. Wade Supreme Court Decision,22,January,1973.0,United States,Judicial,Washington D.C.,"Legalized abortion nationwide, sparking ongoing debates.",Women nationwide,Supreme Court,Positive,38.8950368,-77.0365427
685,Tech Boom and DotUnknowncom Bubble,             ,Unknown,1990.0,United States,Economic,"Silicon Valley, CA","Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors",Mixed,37.4429964,-122.1545229
688,Charlottesville Rally and Violence,12,August,2017.0,United States,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative,38.029306,-78.4766781
689,US Recognition of Jerusalem as Israel's Capital,6,December,2017.0,United States,International Policy,International,"Shifted US foreign policy, leading to global reactions and tensions.",International community,"Donald Trump, Israeli government",Mixed,26.1093312,-98.2085751
690,January 6 Capitol Attack,6,January,2021.0,United States,Domestic Terrorism,Washington D.C.,"Attempt to overturn the 2020 presidential election results, challenging democratic norms.",American public,"ProUnknownTrump rioters, U.S. Congress",Negative,38.8950368,-77.0365427
691,Withdrawal from Afghanistan,30,August,2021.0,United States,Military,Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover.","Afghan citizens, U.S. military","U.S. Government, Taliban",Negative,38.91721095,-77.05221767096326
695,Boston Tea Party,16,December,1773.0,United States,Political Protest,"Boston, MA",Protest against British taxes on tea; pivotal event leading to the American Revolution.,Colonists,American Patriots,Positive,42.3554334,-71.060511
696,Lewis and Clark Expedition,             ,May,1804.0,United States,Exploration,Western USA,Expedition to explore the newly acquired western territory of the United States.,American explorers,"Meriwether Lewis, William Clark",Positive,18.3395945,-64.9423105
