Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
456,Establishment of Đại Việt,Unknown,Unknown,968,Vietnam,State Formation,Northern Vietnam,"Unified the nation under a centralized monarchy, laying the groundwork for Vietnamese identity and sovereignty.",Vietnamese people,Đinh Bộ Lĩnh,Positive,Social and Cultural Events,Asia,0.13612233,0.10646874,0.17251122,0.03384262,0.008368955,0.046822526,0.1275678,0.014964282,0.06373433,0.15751736,0.12717947,0.0049003656
457,Lý Dynasty Founded,Unknown,Unknown,1009,Vietnam,Dynastic Founding,Hanoi,"Marked the beginning of a stable and prosperous era, with significant developments in culture, education, and governance.",Vietnamese people,Lý Thái Tổ,Positive,Social and Cultural Events,Asia,0.17624438,0.08578442,0.141048,0.047672182,5.587688e-05,0.15889703,0.17127866,0.008238005,0.030304136,0.06450552,0.108605444,0.0073663355
458,Trần Dynasty Defeats Mongol Invasions,Unknown,Unknown,1258,Vietnam,Military Defense,Northern Vietnam,"Successfully repelled three major Mongol invasions, preserving Vietnamese independence and cultural integrity.",Vietnamese people,Trần Hưng Đạo,Positive,Other,Asia,0.15371135,0.19252354,0.12929717,0.05023764,0.04044384,0.018235458,0.098558135,0.01743155,0.03354922,0.080064274,0.17426142,0.011686356
459,Hồ Dynasty's Adoption of NeoUnknownConfucianism,Unknown,Unknown,1400,Vietnam,Cultural Shift,Vietnam,"Marked a shift towards NeoUnknownConfucianism, influencing Vietnamese society, politics, and education.",Vietnamese people,Hồ Quý Ly,Mixed,Social and Cultural Events,Asia,0.15730035,0.104818985,0.15937953,0.026859954,0.004697516,0.09573599,0.14851978,0.014954729,0.030103333,0.09553154,0.16208771,1.0694656e-05
460,Lê Dynasty Restoration,Unknown,Unknown,1428,Vietnam,Dynastic Restoration,Vietnam,Restored national unity and promoted cultural and economic development after a period of division and conflict.,Vietnamese people,Lê Lợi,Positive,Other,Asia,0.13731472,0.14231974,0.15069081,0.029195718,0.007920933,0.078936875,0.1716549,0.0230817,0.03574757,0.0780837,0.14468177,0.0003715294
461,Nguyễn Dynasty's Expansion Southwards,Unknown,Unknown,1650,Vietnam,Territorial Expansion,Southern Vietnam,"Completed the territorial unification of modern Vietnam, extending control over the Mekong Delta.","Vietnamese people, Khmer people",Nguyễn lords,Positive,Economic and Infrastructure Development,Asia,0.1324755,0.14128388,0.13029236,0.068860106,0.0024453655,0.0796966,0.09222759,0.008515492,0.02557064,0.17070845,0.14508738,0.0028366914
462,Tay Son Rebellion,Unknown,Unknown,1771,Vietnam,Rebellion,Central Vietnam,"A peasant uprising that temporarily overthrew the feudal lords, leading to significant social and political changes.",Vietnamese people,Nguyễn Huệ,Mixed,Military and Conflict,Asia,0.16842127,0.14599182,0.18935579,0.015378913,0.04570555,0.08264456,0.12905437,0.047338586,0.040699575,0.0097776605,0.123444326,0.0021875948
463,Gia Long Becomes Emperor,Unknown,Unknown,1802,Vietnam,Political Consolidation,Vietnam,"Unified Vietnam under the Nguyễn Dynasty, establishing a centralized monarchy with Hue as the capital.",Vietnamese people,Emperor Gia Long,Positive,Political Events,Asia,0.12946035,0.09852486,0.18294986,0.018982157,0.0003081035,0.072269686,0.15187895,0.016672932,0.023916477,0.1298462,0.17025726,0.0049331062
464,French Colonization Begins,Unknown,Unknown,1858,Vietnam,Colonial Occupation,Southern Vietnam,"Marked the beginning of nearly a century of French colonial rule, significantly impacting Vietnamese society.",Vietnamese people,Napoleon III,Negative,Political Events,Asia,0.16605154,0.135399,0.11808229,0.0724204,0.017322654,0.11508843,0.15651695,0.032582063,0.024676526,0.073213205,0.07711814,0.0115288235
466,Hanoi Poison Plot,Unknown,Unknown,1908,Vietnam,Assassination Attempt,Hanoi,"A failed attempt to poison the French colonial garrison in Hanoi, highlighting resistance to French rule.","French officials, Vietnamese rebels",Vietnamese revolutionaries,Negative,Political Events,Asia,0.11180113,0.16088086,0.10313382,0.090363435,0.1937299,0.0016857561,0.0993048,0.07953692,0.042594533,0.029222665,0.08728218,0.0004640026
467,Founding of the Vietnamese Nationalist Party,Unknown,Unknown,1927,Vietnam,Political Movement,Vietnam,Sought to achieve independence from French colonial rule through political means and armed resistance.,Vietnamese nationalists,Nguyễn Thái Học,Mixed,Political Events,Asia,0.1547418,0.20160177,0.19213666,0.036278952,0.01878917,0.05641055,0.15302116,0.013050953,0.03148682,0.06759651,0.074810125,7.545958e-05
468,Yên Bái Mutiny,Unknown,Unknown,1930,Vietnam,Armed Rebellion,Yên Bái,An armed revolt against the French colonial authorities by Vietnamese soldiers and civilians.,"Vietnamese soldiers, civilians",Vietnamese Nationalist Party,Mixed,Political Events,Asia,0.15044342,0.21277577,0.14921966,0.029217204,0.07673325,0.03519555,0.1336436,0.038534317,0.028333727,0.065180495,0.08029724,0.00042576037
469,Establishment of the Indochinese Communist Party,3,February,1930,Vietnam,Political Party Formation,Hong Kong,"Founded by Hồ Chí Minh to lead the struggle for independence, merging nationalist and communist ideologies.",Vietnamese people,Hồ Chí Minh,Positive,Social and Cultural Events,Asia,0.14298075,0.1433164,0.20270751,0.020190744,0.020619934,0.050343204,0.17070822,0.020402752,0.024859423,0.086379975,0.11736952,0.000121577505
470,Japanese Occupation of Vietnam,Unknown,Unknown,1940,Vietnam,Military Occupation,Vietnam,"Japan occupied Vietnam during WWII, weakening French control and contributing to Vietnam's push for independence.",Vietnamese people,Imperial Japan,Mixed,Military and Conflict,Asia,0.118441045,0.22176638,0.11296207,0.063824356,0.041111186,0.03557759,0.077027954,0.03355132,0.019495076,0.18384461,0.0922531,0.000145378
471,August Revolution,14,August,1945,Vietnam,Independence Movement,Vietnam,Led to the declaration of Vietnam's independence from France and the establishment of the Democratic Republic of Vietnam.,Vietnamese people,"Hồ Chí Minh, Việt Minh",Positive,Military and Conflict,Asia,0.11392183,0.18997711,0.18692172,0.04862908,0.008059442,0.06353623,0.15458412,0.01939089,0.021030128,0.1152038,0.07872826,1.7371367e-05
472,Declaration of Independence,2,September,1945,Vietnam,Declaration of Independence,"Ba Đình Square, Hanoi","Hồ Chí Minh declared Vietnam's independence, founding the Democratic Republic of Vietnam.",Vietnamese people,Hồ Chí Minh,Positive,Political Events,Asia,0.11624741,0.1454744,0.17691909,0.051548835,0.0003049752,0.019425672,0.13358434,0.016651373,0.037492584,0.19621544,0.09976743,0.006368513
473,First Indochina War Begins,19,December,1946,Vietnam,Military Conflict,Northern Vietnam,"A conflict between the Việt Minh forces and the French aiming to reclaim colonial control, leading to widespread resistance.",Vietnamese people,"Việt Minh, French Colonial Forces",Negative,Military and Conflict,Asia,0.14508653,0.22249007,0.113930754,0.079837196,0.044515118,0.04127882,0.1174425,0.042740617,0.017900534,0.09313636,0.07950246,0.0021391197
474,Battle of Điện Biên Phủ,Unknown,Unknown,1954,Vietnam,Military Siege,Điện Biên Phủ,A decisive battle that ended French colonial rule in Vietnam (Note: Culmination beyond the 1950 cutoff).,"Vietnamese, French soldiers","Võ Nguyên Giáp, French Army",Positive,Military and Conflict,Asia,0.12060486,0.17758599,0.114359215,0.08357986,0.036595985,0.029536244,0.13184074,0.038382117,0.03701438,0.11460039,0.11433797,0.0015622139
475,Formation of the Viet Minh,Unknown,Unknown,1941,Vietnam,Resistance Movement,Vietnam,"Organized to resist both French colonial rule and Japanese occupation, playing a pivotal role in the independence movement.",Vietnamese people,Hồ Chí Minh,Mixed,Political Events,Asia,0.15103622,0.19629137,0.16024394,0.038223885,0.019594576,0.04765909,0.13782498,0.01019673,0.028378844,0.11086118,0.09806495,0.0016241326
476,First Saudi State Established,Unknown,Unknown,1744,Saudi Arabia,State Formation,Diriyah,"Marked the beginning of Saudi rule in the Arabian Peninsula, establishing a political entity based on Wahhabism.",Arabian Peninsula,"Muhammad ibn Saud, Muhammad ibn Abd alUnknownWahhab",Positive,Social and Cultural Events,Asia,0.13548063,0.10221143,0.18644899,0.06046937,0.014744739,0.07703069,0.14317432,0.0027325503,0.05001372,0.13199447,0.09036862,0.005330533
477,Destruction of the First Saudi State,Unknown,Unknown,1818,Saudi Arabia,Military Defeat,Diriyah,"The First Saudi State was destroyed by the Ottoman Empire, leading to a temporary loss of power for the Saud family.",Arabian Peninsula,Ottoman Empire,Negative,Political Events,Asia,0.096619815,0.17122944,0.16984649,0.08422762,0.09836095,0.06694106,0.1062867,0.102208644,0.021584008,0.026669724,0.053924233,0.0021012186
478,Establishment of the Second Saudi State,Unknown,Unknown,1824,Saudi Arabia,State Formation,Najd,"Following the fall of the First Saudi State, the Saud family regained power, leading to the establishment of the Second Saudi State.",Arabian Peninsula,Turki ibn Abdullah ibn Muhammad,Positive,Social and Cultural Events,Asia,0.11096578,0.15846996,0.2238297,0.036843967,0.012145466,0.09113986,0.12520424,0.006158366,0.027941259,0.10030107,0.0884226,0.018577734
479,Annexation of Hejaz,Unknown,Unknown,1925,Saudi Arabia,Territorial Expansion,Hejaz,The conquest of Hejaz was a significant territorial expansion that included the holy cities of Mecca and Medina.,Hejaz,Abdulaziz Ibn Saud,Positive,Economic and Infrastructure Development,Asia,0.12969546,0.08961351,0.12454961,0.054411385,0.032764245,0.10161297,0.12118524,0.033481404,0.04276591,0.066122666,0.19898717,0.0048103
480,Ikhwan Revolt,Unknown,Unknown,1929,Saudi Arabia,Rebellion,"Najd, Hejaz","The Ikhwan, initially allies of Ibn Saud, revolted against his rule due to disagreements over modernization and control.",Arabian Peninsula,"Ikhwan, Abdulaziz Ibn Saud",Mixed,Military and Conflict,Asia,0.15781173,0.16771846,0.1758622,0.018776342,0.07349255,0.028559167,0.13037586,0.037903365,0.046035513,0.048166715,0.10770372,0.007594396
481,Treaty of Jeddah,Unknown,Unknown,1927,Saudi Arabia,Diplomatic Agreement,Jeddah,This treaty between Ibn Saud and the United Kingdom recognized the sovereignty of the Kingdom of Hejaz and Najd.,"Arabian Peninsula, UK","Abdulaziz Ibn Saud, United Kingdom",Positive,International Relations and Diplomacy,Asia,0.11319688,0.10359527,0.12795116,0.050095577,0.025302486,0.020530285,0.07544856,0.0045092497,0.12049855,0.23991294,0.099492334,0.01946672
482,Discovery of Oil,3,March,1938,Saudi Arabia,Economic Development,Dammam,The discovery of oil transformed the economy of Saudi Arabia and its role in international affairs.,Saudi Arabia,Saudi Aramco,Positive,Economic and Infrastructure Development,Asia,0.0930308,0.08417239,0.09656234,0.10566261,0.011724276,0.21231364,0.0979876,0.018629793,0.0021216471,0.12529972,0.059329733,0.093165465
483,Founding of Saudi Aramco,Unknown,Unknown,1933,Saudi Arabia,Economic Development,Dhahran,The creation of the Arabian American Oil Company (Aramco) marked the beginning of oil exploration and production.,Saudi Arabia,"Saudi Government, American oil companies",Positive,Economic and Infrastructure Development,Asia,0.10221466,0.067367405,0.09391243,0.1256785,0.017061668,0.19325718,0.12575015,0.00885054,0.0028897703,0.13984655,0.05292188,0.070249334
484,Establishment of the Kingdom of Saudi Arabia,23,September,1932,Saudi Arabia,Political Unification,Saudi Arabia,"Abdulaziz Ibn Saud unified the regions into a single kingdom, solidifying his rule over the modern state of Saudi Arabia.",Arabian Peninsula,Abdulaziz Ibn Saud,Positive,Political Events,Asia,0.11417447,0.10684627,0.18591477,0.04152042,0.019021893,0.062734,0.0908867,0.0055355756,0.04827704,0.15312696,0.13863815,0.033323783
485,SaudiUnknownYemeni War,Unknown,Unknown,1934,Saudi Arabia,Military Conflict,Yemen border,"Conflict with Yemen resulted in the Treaty of Taif, which defined the SaudiUnknownYemeni border and expanded Saudi territory.","Saudi Arabia, Yemen",Abdulaziz Ibn Saud,Mixed,Military and Conflict,Asia,0.0951692,0.16077554,0.113751784,0.08149519,0.06461928,0.10722185,0.07068591,0.040408056,0.019036563,0.18115872,0.057264335,0.008413528
486,Introduction of Modern Education,Unknown,Unknown,1926,Saudi Arabia,Social Reform,Mecca,Establishment of the first formal school in Mecca signified the beginning of modern public education in Saudi Arabia.,Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,Social and Cultural Events,Asia,0.14741409,0.046008635,0.15937108,0.089217775,0.0066808737,0.119186625,0.21820685,0.0025137377,0.05003695,0.060218513,0.06782749,0.033317313
487,Establishment of Sharia Law,Unknown,Unknown,1927,Saudi Arabia,Legal System Implementation,Saudi Arabia,"Formalized the legal system based on Islamic law, shaping the judicial and societal norms of the country.",Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,Legal and Judicial Changes,Asia,0.15286084,0.054686274,0.16857255,0.0065719155,0.024132535,0.048175186,0.13003427,0.005303686,0.28027186,0.061893355,0.06735365,0.00014377823
488,Creation of the Saudi Riyal,Unknown,Unknown,1928,Saudi Arabia,Economic Policy,Saudi Arabia,The introduction of the Saudi Riyal as the country's currency facilitated economic stability and trade.,Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,Economic and Infrastructure Development,Asia,0.12746833,0.084142834,0.13540111,0.040149786,0.007823246,0.23943126,0.08955567,0.017177623,0.019654104,0.12479625,0.06557676,0.04882306
489,Formation of the Saudi Arabian National Guard,Unknown,Unknown,1912,Saudi Arabia,Military Organization,Riyadh,"Created to protect the dynasty and maintain internal security, playing a key role in the kingdom's stability.",Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,Other,Asia,0.13289121,0.14828072,0.168716,0.033779893,0.048768662,0.07258554,0.11965247,0.009317956,0.023016311,0.12084029,0.09540206,0.026748832
490,Treaty of Taif,Unknown,Unknown,1934,Saudi Arabia,Diplomatic Agreement,Taif,The treaty with Yemen following the SaudiUnknownYemeni War confirmed Saudi territorial gains and defined borders.,"Saudi Arabia, Yemen",Abdulaziz Ibn Saud,Positive,International Relations and Diplomacy,Asia,0.10296641,0.13702317,0.11103695,0.073511,0.026617376,0.088551946,0.079797015,0.016139142,0.027683474,0.25479656,0.07930787,0.0025690172
491,Participation in the ArabUnknownIsraeli War,Unknown,Unknown,1948,Saudi Arabia,Military Conflict,Middle East,Saudi Arabia's involvement highlighted its role in regional Arab politics and the Palestinian issue.,Middle East,Abdulaziz Ibn Saud,Mixed,Military and Conflict,Asia,0.113083035,0.11355029,0.1448064,0.05344366,0.05188128,0.10614801,0.1037963,0.014596285,0.019279549,0.19564237,0.0605993,0.023173561
492,Construction of the TransUnknownArabian Pipeline,Unknown,Unknown,1947,Saudi Arabia,Economic Development,Eastern Province,"Facilitated the transport of Saudi oil to the Mediterranean, significantly boosting the kingdom's oil exports.",Saudi Arabia,Saudi Aramco,Positive,Economic and Infrastructure Development,Asia,0.095368385,0.11202648,0.101012304,0.09597141,0.014047364,0.26637986,0.09864236,0.02712109,0.00012403076,0.09813875,0.03919213,0.05197593
493,Founding Member of the Arab League,Unknown,Unknown,1945,Saudi Arabia,International Cooperation,Cairo,Saudi Arabia's participation in the Arab League emphasized its commitment to Arab solidarity and regional issues.,Arab states,Abdulaziz Ibn Saud,Positive,International Relations and Diplomacy,Asia,0.0856462,0.09233808,0.12747943,0.043973364,0.015496027,0.07896146,0.093455784,0.0008368379,0.013442281,0.3974247,0.04654368,0.004402181
494,Establishment of King Abdulaziz University,Unknown,Unknown,1949,Saudi Arabia,Educational Development,Jeddah,Signified a commitment to higher education and the development of a skilled workforce in the kingdom.,Saudi Arabian citizens,Abdulaziz Ibn Saud,Positive,Technological and Scientific Advancements,Asia,0.14539485,0.031382333,0.13104479,0.069973454,3.0469317e-05,0.13303587,0.14352892,0.00072319095,0.06256582,0.12505238,0.14025691,0.01701099
495,Saudi Recognition of Pakistan,Unknown,Unknown,1947,Saudi Arabia,Diplomatic Recognition,Pakistan,Early recognition of Pakistan fostered strong bilateral relations based on shared Islamic heritage and mutual interests.,"Saudi Arabia, Pakistan",Abdulaziz Ibn Saud,Positive,Political Events,Asia,0.112729326,0.06467839,0.10763195,0.07550064,0.011032551,0.06393359,0.07297731,0.0005276907,0.027940063,0.3140413,0.14309953,0.005907599
496,Saudi Arabia Becomes a Member of the UN,24,October,1945,Saudi Arabia,International Relations,Unknown,"Marked Saudi Arabia's entry into the international community, fostering global diplomatic ties.",Saudi Arabian citizens,Unknown,Positive,International Relations and Diplomacy,Asia,0.07515646,0.05951354,0.103013344,0.07186483,0.002369254,0.08154107,0.09873198,0.00020207925,0.0040885457,0.40337285,0.07699212,0.023153862
497,Oil Revenue Boom,Unknown,Unknown,1970,Saudi Arabia,Economic Development,Unknown,The surge in oil prices dramatically increased national wealth and funded extensive modernization projects.,Saudi Arabian citizens,Unknown,Positive,Economic and Infrastructure Development,Asia,0.09958433,0.055024616,0.07724207,0.055075977,0.01073509,0.36722314,0.12348996,0.059617866,1.4648407e-05,0.03790134,0.047152046,0.066938885
499,Juhayman alUnknownOtaybi's Seizure of the Grand Mosque,20,November,1979,Saudi Arabia,Security Incident,Mecca,A twoUnknownweek siege that challenged the Saudi royal family's legitimacy and led to stricter religious policies.,"Saudi Arabian citizens, pilgrims",Juhayman alUnknownOtaybi,Negative,Political Events,Asia,0.1259696,0.102965474,0.1413318,0.06389184,0.12656535,0.028735355,0.11929939,0.03753163,0.082735606,0.04936594,0.11497024,0.0066377707
501,IranUnknownIraq War and Saudi Involvement,22,September,1980,Saudi Arabia,Regional Conflict,Persian Gulf,"Saudi Arabia supported Iraq, fearing the spread of Iran's revolutionary Shia Islam within the kingdom.",Regional stability,Saudi Government,Mixed,Political Events,Asia,0.098757766,0.15120926,0.14554462,0.04727391,0.0855429,0.06537725,0.09652082,0.03960737,0.025483403,0.15255688,0.0758371,0.016288614
502,First Gulf War,2,August,1990,Saudi Arabia,Military Conflict,"Kuwait, Saudi Arabia",Iraq's invasion of Kuwait led to Saudi Arabia hosting coalition forces and participating in military operations.,Regional stability,"Saudi Government, Coalition Forces",Mixed,Military and Conflict,Asia,0.09836598,0.2077415,0.14383322,0.10376328,0.049358215,0.07396934,0.10245044,0.010438591,0.0020564776,0.17046018,0.037227802,0.0003349401
504,Introduction of the Basic Law of Governance,1,March,1992,Saudi Arabia,Legal Framework,Unknown,"Formalized the Saudi political and administrative structure, reinforcing the monarchy's Islamic governance model.",Saudi Arabian citizens,King Fahd,Positive,Legal and Judicial Changes,Asia,0.11706666,0.088432565,0.2064379,0.031995326,0.0315412,0.07571939,0.12677445,0.011396582,0.11732817,0.1083239,0.080948584,0.004035239
505,Saudi Arabia Joins the WTO,11,December,2005,Saudi Arabia,Economic Integration,Unknown,Enhanced Saudi Arabia's global trade relations and required significant economic reforms for compliance.,Saudi Arabian economy,Saudi Government,Positive,Political Events,Asia,0.09473746,0.08858981,0.10336231,0.06854168,0.0046142126,0.12906203,0.072634324,0.00027876944,0.0240294,0.34443492,0.053318124,0.016396983
507,Riyadh Compound Bombings,12,May,2003,Saudi Arabia,Terrorism,Riyadh,"AlUnknownQaeda attacks targeting expatriates underscored the internal threat of extremism, leading to security reforms.","Expatriates, Saudi citizens",AlUnknownQaeda,Negative,Crisis and Emergency Response,Asia,0.08050126,0.08801188,0.10451552,0.06069438,0.32725477,0.063803576,0.049409654,0.10625557,0.01725469,0.044494297,0.055077035,0.0027274054
508,King Abdullah's Ascension,1,August,2005,Saudi Arabia,Leadership Change,Unknown,"Began a period marked by cautious reforms in education, economy, and increased openness to the world.",Saudi Arabian citizens,King Abdullah,Positive,Political Events,Asia,0.14920963,0.07532111,0.16596353,0.055753827,9.168677e-05,0.206119,0.16470298,0.0075553562,0.039821874,0.040583428,0.06773566,0.027141972
509,Vision 2030 Announced,25,April,2016,Saudi Arabia,Economic/Social Reform Plan,Unknown,"A strategic framework to reduce Saudi Arabia's dependence on oil, diversify its economy, and develop public service sectors.",Saudi Arabian citizens,Mohammed bin Salman,Positive,Political Events,Asia,0.06095733,0.03937204,0.12330369,0.07786035,0.010451484,0.27058324,0.08185215,0.07582139,0.0052952548,0.17074731,0.04013187,0.04362394
510,Women Allowed to Drive,24,June,2018,Saudi Arabia,Social Reform,Unknown,"Ended the world's only ban on female drivers, part of broader social reforms to improve women's rights.",Saudi women,Mohammed bin Salman,Positive,Social and Cultural Events,Asia,0.1975066,0.114151806,0.13804269,0.02018263,0.01897756,0.059573572,0.13020088,0.0328297,0.20443411,0.042981237,0.010357338,0.030761877
511,AntiUnknownCorruption Campaign,4,November,2017,Saudi Arabia,Political Action,Riyadh,"HighUnknownprofile arrests for corruption, signaling power consolidation by Crown Prince Mohammed bin Salman.",Saudi elites,Mohammed bin Salman,Mixed,Political Events,Asia,0.1367842,0.12457107,0.23998295,0.029073749,0.093690336,0.121632725,0.112098776,0.027352761,0.019871285,0.01948593,0.058664553,0.016791675
512,Saudi Intervention in Yemen,26,March,2015,Saudi Arabia,Military Intervention,Yemen,"Led a coalition intervening in Yemen's civil war, aiming to restore the internationally recognized government.","Yemeni civilians, regional stability",Saudi Government,Negative,Political Events,Asia,0.07494077,0.15941711,0.15422094,0.035669997,0.041186303,0.112408705,0.07838639,0.044863094,0.013270523,0.21990487,0.043466516,0.022264818
513,Khashoggi Assassination,2,October,2018,Saudi Arabia,Diplomatic Incident,"Istanbul, Turkey",The murder of journalist Jamal Khashoggi in the Saudi consulate led to international outcry and strained relations.,International community,Saudi Government,Negative,Political Events,Asia,0.067088984,0.09595139,0.077943444,0.10331895,0.29999274,0.023420215,0.06266582,0.06988955,0.010054571,0.108385175,0.07144041,0.009848709
514,RitzUnknownCarlton Riyadh Detentions,4,November,2017,Saudi Arabia,AntiUnknownCorruption Effort,Riyadh,"Prominent figures were detained in an antiUnknowncorruption crackdown, seen as consolidating power around the Crown Prince.",Saudi elites,Mohammed bin Salman,Mixed,Political Events,Asia,0.10627235,0.058116954,0.20201214,0.0025088284,0.24715368,0.059087772,0.05832862,0.018081529,0.06118142,0.037947066,0.11653007,0.032779634
515,G20 Summit Hosted in Riyadh,21,November,2020,Saudi Arabia,International Summit,Riyadh,"Hosting the G20 marked Saudi Arabia's prominence on the global stage, despite controversies and criticisms.","Global leaders, Saudi citizens",Saudi Government,Mixed,International Relations and Diplomacy,Asia,0.05457588,0.0452935,0.09050114,0.08607476,0.042823177,0.07922011,0.12196019,0.020744164,0.0010318758,0.33360335,0.06185309,0.062318776
516,Founding of Modern Singapore,29,January,1819,Singapore,State Formation,Singapore,Establishment as a British trading post,Local and immigrant populations,Sir Stamford Raffles,Positive,Social and Cultural Events,Asia,0.17010614,0.08076566,0.1175215,0.06338564,0.0274312,0.10767955,0.154126,0.011050814,0.04560481,0.12821645,0.09279631,0.001315917
517,Treaty of Friendship and Alliance,6,February,1824,Singapore,Diplomatic Agreement,Singapore,Secured Singapore for the British Empire,Local and immigrant populations,British East India Company,Positive,International Relations and Diplomacy,Asia,0.13003841,0.13074443,0.10097159,0.06510796,0.024237264,0.05080876,0.124188215,0.007918261,0.024184812,0.2734245,0.065526314,0.0028494599
518,Straits Settlements Establishment,Unknown,Unknown,1826,Singapore,Administrative Change,Malaya,Integration into British Malaya,Local and immigrant populations,British Crown,Positive,Political Events,Asia,0.17344984,0.10709149,0.10650619,0.064409144,0.052140057,0.09029559,0.11403551,0.023545902,0.027033985,0.12576047,0.11518987,0.0005418983
519,Japanese Occupation,15,February,1942,Singapore,Military Occupation,Singapore,Occupation and ensuing hardships during WWII,Singaporean citizens,Japanese Empire,Negative,Military and Conflict,Asia,0.11732374,0.18438256,0.087256365,0.07192415,0.11456836,0.06681155,0.08434815,0.07472563,0.008381267,0.10921369,0.079957254,0.0011072308
520,Battle of Singapore,8,February,1942,Singapore,Military Conflict,Singapore,British surrender to Japanese forces,British and Allied forces,Japanese Empire,Negative,Military and Conflict,Asia,0.10748322,0.23013665,0.0955558,0.08100101,0.085747056,0.0070544947,0.07877464,0.025107272,0.019700138,0.19078991,0.077683315,0.00096651993
521,Sook Ching Massacre,18,February,1942,Singapore,Massacre,Singapore,Systematic purge of antiUnknownJapanese elements,Chinese Singaporeans,Japanese military,Negative,Crisis and Emergency Response,Asia,0.11434791,0.08073818,0.11078458,0.040179767,0.18523513,0.017372912,0.09244911,0.0832084,0.047370303,0.024069691,0.20385203,0.00039199134
522,Return of the British,12,September,1945,Singapore,Military Administration,Singapore,Restoration of British colonial rule,Singaporean citizens,British Military Administration,Mixed,Political Events,Asia,0.16949686,0.16158888,0.16031376,0.021914015,0.0353393,0.046441555,0.14734155,0.012945721,0.10586939,0.033003516,0.103617854,0.0021276732
523,PostUnknownwar Recovery,Unknown,Unknown,1945,Singapore,Reconstruction,Singapore,Economic and infrastructural rehabilitation efforts,Singaporean citizens,British Administration,Positive,Political Events,Asia,0.120813124,0.14009216,0.11195899,0.037074912,0.007573671,0.19383891,0.10172427,0.14838277,0.0066771726,0.047719747,0.07927156,0.0048726667
524,University of Malaya Formation,Unknown,Unknown,1949,Singapore,Educational Development,Singapore,Start of higher education,Students and academics,British Administration,Positive,Technological and Scientific Advancements,Asia,0.18663836,0.0712221,0.10275218,0.16103813,0.00572427,0.079017535,0.15168746,0.002180448,0.02365442,0.087609336,0.122706935,0.0057687704
525,Maria Hertogh Riots,Unknown,Unknown,1950,Singapore,Social Unrest,Singapore,Exposed ethnic and religious tensions,Singaporean citizens,Unknown,Negative,Political Events,Asia,0.17354897,0.09788389,0.124008,0.003441943,0.16627268,0.02451452,0.17439868,0.05300981,0.05764772,0.018228356,0.10703676,8.669463e-06
526,SelfUnknowngovernance Achieved,3,June,1959,Singapore,Political Milestone,Singapore,Singapore gained selfUnknowngovernance from the British,Singaporean citizens,Lee Kuan Yew,Positive,Other,Asia,0.18750077,0.12528273,0.14617576,0.043483213,0.016806753,0.12666132,0.12723741,0.03178947,0.0045152153,0.12752676,0.05569087,0.0073296637
527,Merger with Malaysia,16,September,1963,Singapore,Political Union,Malaysia,Temporary integration with Malaysia,Singaporean citizens,Malaysian and Singaporean Governments,Mixed,Political Events,Asia,0.12514105,0.06577475,0.096538566,0.10784507,0.0070979334,0.08123608,0.086962454,0.007295266,0.028953396,0.2778899,0.06882093,0.04644456
528,Separation and Independence,9,August,1965,Singapore,Independence Declaration,Singapore,Singapore became an independent and sovereign nation,Singaporean citizens,Lee Kuan Yew,Positive,Political Events,Asia,0.13532536,0.16147414,0.16326931,0.042635165,0.015825946,0.05394954,0.117050014,0.018771099,0.047319002,0.15980034,0.0804171,0.0041628843
529,National Service Introduced,17,March,1967,Singapore,Defense Policy,Singapore,Mandatory military service for male citizens,Male citizens,Singaporean Government,Positive,Political Events,Asia,0.15727368,0.13478743,0.15418762,0.035770725,0.01749193,0.08109353,0.13856088,0.021751799,0.14546083,0.09151571,0.002179916,0.01992607
530,Economic Development,Unknown,Unknown,1970,Singapore,Economic Policy,Singapore,Rapid industrialization and transformation into a global financial hub,Singaporean economy,Singaporean Government,Positive,Economic and Infrastructure Development,Asia,0.09537251,0.037828773,0.075580165,0.045652274,0.0013957398,0.49708486,0.09310194,0.015098591,0.00010971251,0.06508334,0.029345218,0.044346876
531,Speak Mandarin Campaign Launched,Unknown,Unknown,1979,Singapore,Cultural Policy,Singapore,Promotion of Mandarin over other Chinese dialects to strengthen national identity,Chinese Singaporeans,Singaporean Government,Positive,Political Events,Asia,0.19232951,0.061786015,0.12882225,0.029605212,7.940722e-05,0.11223216,0.1322394,0.003215785,0.021694783,0.17742833,0.14054318,2.3969138e-05
532,Elected Presidency Introduced,30,November,1991,Singapore,Political Reform,Singapore,Introduction of a directly elected President with custodial powers over national reserves,Singaporean citizens,Singaporean Government,Positive,Political Events,Asia,0.13538793,0.08021713,0.25217974,0.01930946,0.0010896518,0.11639984,0.14792721,0.015389525,0.062199928,0.07325716,0.0922343,0.0044081346
